Nitrogen,Phosphorus,Potassium,Temperature,Humidity,pH_Value,Rainfall,Crop,Soil_Type,Variety
69.0747657352742,53.954402087054795,88.0676247040119,17.261833738526974,72.9416522440957,4.631301284674626,302.84263899578417,Wheat,Clay,Soft Red
107.32935206465483,70.10213389904699,32.08106652927613,21.84611565724149,99.36195448548067,4.761658350431389,94.69384657075958,Tomato,Clay,Beefsteak
130.63462407096128,67.20453317483934,28.29425168407002,33.24689514937074,81.50683564100116,6.5660070585641614,83.563684651297,Sugarcane,Clay,Co 86032
15.169301216191364,87.49318129429336,14.336678966117727,14.396288866165008,59.27446469091534,6.296296654755076,31.508835824717632,Sugarcane,Silt,Co 0238
21.88196508475118,89.26971210568172,38.833885318797634,16.77321764398873,51.19158384861472,8.268274387750605,295.1934818585424,Maize,Sandy,Sweet
19.6603041053072,6.616577866125726,62.189607449245756,34.067790847763895,42.67288356379635,6.442318400815805,218.12207665288497,Tomato,Clay,Beefsteak
30.31198594652067,36.28792089324604,69.74944171595135,33.44455100994166,48.140218631204924,6.06748880901908,368.5237414738164,Potato,Saline,Yukon Gold
33.71076415362381,42.909833902362685,71.62996626150073,12.607353613305087,68.96606126589778,5.640770085911013,183.16013155668082,Maize,Clay,Sweet
70.29520498077726,56.440553525807154,86.62514467001711,16.437202595042084,89.18331636833167,6.447732037905601,68.94076392760905,Wheat,Sandy,Hard Red
65.3305260738122,22.768994404542827,91.2226378151337,34.77916625776406,81.82490330486573,8.233027268841509,381.86798088586596,Maize,Saline,Flint
33.33689111082607,7.520524234437689,58.50459051017145,42.77376426037176,35.108459953306124,7.392240525012818,186.02454948042745,Maize,Peaty,Sweet
87.62082652842949,78.74765109952908,36.76699285109174,34.95071367057937,39.889323923589785,8.382784595303788,236.74984263033545,Rice,Silt,Basmati
58.217191637059564,47.253634711203446,27.9383164500794,18.975614285846646,80.03069241051651,7.628455249377096,259.65432334286936,Sugarcane,Loamy,Co 99004
147.30471606824293,31.62185842740221,45.35490799400787,31.993695963399116,97.42447655283826,7.724092350667057,399.40460248359244,Maize,Peaty,Dent
33.0681645136183,14.370276433281298,26.591820848405924,41.512524325245806,74.63635779332336,6.616894187701092,376.24370887381656,Tomato,Clay,Roma
131.48190674954066,13.304347288407978,29.344467921377294,32.48803336017299,57.73699428866856,5.9605600022314835,223.88017163108086,Potato,Clay,Russet
